# Velocities Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
513,1.487391,2.873597,3.050069,4.446663
514,3.992302,2.945365,-0.6215701,5
515,4.106167,2.843551,-0.2315298,5
516,4.323614,-0.3513967,2.486541,5
517,2.276308,3.30305,2.984674,5
518,4.02598,-1.720807,2.414603,5
519,4.870112,-0.006105933,-1.132239,5
520,4.905406,0.5411707,0.8025753,5
521,1.636746,-0.3924415,4.70819,5
522,-2.580586,-4.282316,-0.04839059,5
523,0.05548089,4.15761,-2.776905,5
524,-0.7405179,0.0236604,1.06626,1.298398
525,-0.7861665,0.04176433,1.087064,1.342204
526,-0.8075799,0.04336032,0.9667368,1.260415
527,-0.9304987,0.0241827,0.9341125,1.318703
528,-0.7163025,0.03328469,0.8936223,1.145756
529,-0.7355814,0.009249123,0.9970021,1.239023
530,-0.5854975,0.02235855,1.22233,1.355506
531,0.2111923,0.8099402,1.327648,1.569476
532,0.2585478,0.8071773,1.472893,1.699352
533,0.06769846,0.6273502,1.337061,1.478473
534,0.1927246,0.4848151,1.334992,1.433315
535,0.1867269,0.4862961,1.3355,1.433496
536,0.1314491,0.4207395,1.287022,1.360414
537,2.957444,3.524343,1.957686,5
538,3.954712,2.370595,1.934044,5
539,1.695233,-3.464916,3.181279,5
540,-1.153778,-4.760641,1.002547,5
541,-0.752411,-2.090062,4.479455,5
542,0.4589038,1.26825,0.03046432,1.349066
543,-0.3321243,1.094554,0.03917161,1.144504
544,-0.3443863,1.377011,-0.008155632,1.419446
545,0.401908,1.225424,0.04922346,1.290588
546,0.4050554,1.22317,0.04520423,1.289286
547,-0.332675,1.095504,0.04300503,1.14571
548,-0.4710974,1.358987,-0.02318738,1.438511
549,-3.327764,1.174665,3.364952,4.876141
550,3.768839,1.80952,2.742534,5
551,-3.402801,1.313562,3.248875,4.884638
552,4.215471,2.019192,1.05484,4.791662
553,4.21578,2.018876,1.054152,4.791649
554,4.255514,2.039561,0.835986,4.792502
555,4.259889,2.030384,0.8338643,4.792123
556,4.588344,1.139177,0.5817249,4.7633
557,4.603213,0.8509773,1.668938,4.969818
558,4.581078,0.884206,1.707864,4.968389
559,4.588368,1.139085,0.5816945,4.763298
560,1.658255,4.403827,1.519832,4.945037
561,-0.3199498,1.106382,1.61773,1.985825
562,3.613232,1.827448,0.8157305,4.130427
563,0.5047873,1.573363,3.094812,3.508296
564,4.794155,-0.2467498,-1.398282,5
565,0.6188711,4.788459,-1.299101,5
566,0.0245496,-3.963768,-3.047613,5
567,1.453738,1.316554,-4.599275,5
568,4.718243,1.489715,0.720374,5
569,0.8930925,0.1884582,-4.915981,5
570,-0.7124844,-0.09003586,1.064605,1.284182
571,-0.7112331,-0.06733812,1.019703,1.245063
572,-0.8454247,-0.07979926,1.111332,1.398631
573,-0.6997458,0.0301253,1.129285,1.328848
574,-2.856987,3.89932,-1.277863,5
575,-0.6598878,0.01476057,0.9793214,1.180991
576,-0.6138711,-0.06562656,1.211408,1.359652
577,0.08832844,3.979644,3.025523,4.999916
578,0.3133075,0.640352,1.262911,1.450227
579,0.02750305,0.5867702,1.425528,1.541812
580,0.1974487,0.7926276,1.419515,1.637763
581,0.3109692,0.5710402,1.324596,1.475582
582,0.2406047,0.687371,1.260252,1.455543
583,0.3093145,0.6362193,1.26399,1.44849
584,0.561777,0.4758569,1.255092,1.455091
585,4.6167,1.085285,1.58374,5
586,4.170036,-2.752247,-0.1895483,5
587,0.4631929,2.875322,4.064232,5
588,0.2006805,1.492043,0.9541269,1.782365
589,-0.09837791,-0.08726434,2.268672,2.27248
590,1.147274,2.295048,-0.03695217,2.566096
591,0.2839058,1.419979,0.9903787,1.754364
592,-0.09457206,-0.0819999,2.272101,2.275547
